No.,allowed,link
1,true,https://www.dawn.com/
2,true,https://epaper.dawn.com
3,true,https://www.dawn.com/
4,true,https://www.dawn.com/news/1779807
5,true,https://www.dawn.com/news/1781603/israel-imposes-total-siege-on-gaza-cuts-off-water-supply-as-dozens-more-palestinians-killed
6,true,https://www.dawn.com/news/1780668
7,true,https://www.washingtonpost.com/national-security/2023/10/18/state-department-josh-paul-resignation-israel/
8,true,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1699920&display=popup&ref=plugin
9,true,https://twitter.com/share?text=Israel%E2%80%99s%20Gaza%20invasion%20-%20Day%2014&url=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1699920&counturl=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1699920
10,true,WhatsApp://send?text=Israel%E2%80%99s%20Gaza%20invasion%20-%20Day%2014%20-%20https%3A%2F%2Fwww.dawn.com%2Fnews%2F1699920%3Fref%3Dwhatsapp
11,true,javascript:void(0)
12,true,#timeline
13,true,#mustread
14,true,javascript:void(0)
15,true,javascript:void(0)
16,true,https://www.dawn.com/news/1782340/rather-be-with-them-gaza-students-in-egypt-fear-worst-for-families
17,true,https://www.dawn.com/news/1782340/rather-be-with-them-gaza-students-in-egypt-fear-worst-for-families
18,true,https://www.dawn.com/news/1782125/a-brief-history-of-gazas-75-years-of-woe
19,true,https://www.dawn.com/news/1782125/a-brief-history-of-gazas-75-years-of-woe
20,true,https://www.dawn.com/news/1782110/what-is-israels-endgame-in-gaza-invasion
21,true,https://www.dawn.com/news/1782110/what-is-israels-endgame-in-gaza-invasion
22,true,https://www.dawn.com/news/1781768/much-of-western-reporting-of-the-gaza-conflict-shows-a-dominant-pattern-biased-in-favour-of-zionist-colonisers
23,true,https://www.dawn.com/news/1781742
24,true,https://www.dawn.com/news/1782097/how-pakistanis-can-donate-to-palestine
25,true,https://images.dawn.com/news/1192061/how-pakistanis-can-donate-to-palestine
26,true,https://www.dawn.com/news/1781411/world-leaders-react-to-israeli-siege-of-gaza
27,true,https://www.dawn.com/news/1781411/world-leaders-react-to-israeli-siege-of-gaza
28,true,https://www.dawn.com/news/1781221/when-mediaeval-threats-become-war-crimes-how-israel-is-breaking-international-laws
29,true,https://www.dawn.com/news/1781221/when-mediaeval-threats-become-war-crimes-how-israel-is-breaking-international-laws
30,true,https://www.dawn.com/news/1781774/israel-arrests-palestinian-singer-dalal-abu-amneh-for-posting-in-support-of-gaza
31,true,https://images.dawn.com/news/1192062/israel-arrests-palestinian-singer-dalal-abu-amneh-for-posting-in-support-of-gaza
32,true,https://www.dawn.com/news/1781180/repugnant-racism
33,true,https://www.dawn.com/news/1781358/a-predictable-tragedy
34,true,https://www.dawn.com/news/1781358/a-predictable-tragedy
35,true,/trends/israel
36,true,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1782406&display=popup&ref=plugin
