No.,allowed,link
1,true,https://epaper.dawn.com
2,true,https://www.dawnnews.tv/watch-live
3,true,https://www.dawnnews.tv
4,true,https://images.dawn.com
5,true,https://herald.dawn.com
6,true,https://aurora.dawn.com
7,true,https://cityfm89.com
8,true,https://www.youtube.com/channel/UCkMdI0K-74jAjOmh5J5H97Q
9,true,https://www.dawn.com/advertise
10,true,https://educationexpo.dawn.com
11,true,https://www.dawn.com/events/supplements
12,true,http://classifieds.dawn.com/
13,true,https://obituary.dawn.com
14,true,https://www.dawn.com/
15,true,https://epaper.dawn.com
16,true,//www.dawn.com
17,true,/latest-news
18,true,https://www.dawn.com/trends/gaza-invasion/1
19,true,/pakistan
20,true,/opinion
21,true,/business
22,true,/world
23,true,/entertainment
24,true,/prism
25,true,/sport
26,true,/magazines
27,true,/tech
28,true,/videos
29,true,/popular
30,true,/newspaper
31,true,https://www.dawnrelief.com/
32,true,//www.dawn.com
33,true,/latest-news
34,true,https://www.dawn.com/trends/gaza-invasion/1
35,true,/pakistan
36,true,/opinion
37,true,/business
38,true,/world
39,true,/entertainment
40,true,/prism
41,true,/sport
42,true,/magazines
43,true,/tech
44,true,/videos
45,true,/popular
46,true,/newspaper
47,true,https://www.dawnrelief.com/
48,true,https://www.dawn.com/news/1781101/history-punjab-in-jerusalem
49,true,https://www.dawn.com/authors/9974/muhammad-huzaifa-nizam
50,true,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101&display=popup&ref=plugin
51,true,https://twitter.com/share?text=HISTORY%3A%20PUNJAB%20IN%20JERUSALEM&url=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101&counturl=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101
52,true,WhatsApp://send?text=HISTORY%3A%20PUNJAB%20IN%20JERUSALEM%20-%20https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101%3Fref%3Dwhatsapp
53,true,https://www.dawn.com/news/print/1781101
54,true,javascript:void(0)
55,true,#comments
56,true,https://twitter.com/MHuzaifaNizam
57,true,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101&display=popup&ref=plugin
58,true,https://twitter.com/share?text=HISTORY%3A%20PUNJAB%20IN%20JERUSALEM&url=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101&counturl=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101
59,true,WhatsApp://send?text=HISTORY%3A%20PUNJAB%20IN%20JERUSALEM%20-%20https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781101%3Fref%3Dwhatsapp
60,true,https://www.dawn.com/news/print/1781101
61,true,javascript:void(0)
62,true,#comments
63,true,https://www.dawn.com/news/1385970/the-serai-in-jerusalem-where-baba-farid-stayed
64,true,https://www.dawn.com/news/1385970/the-serai-in-jerusalem-where-baba-farid-stayed
65,true,https://www.dawn.com/news/1740463/history-how-punjab-came-to-dominate-the-army
66,true,https://www.dawn.com/news/1740463/history-how-punjab-came-to-dominate-the-army
67,true,https://www.dawn.com/news/1782361/
68,true,https://www.dawnnews.tv/news/1213620/
69,true,https://www.dawn.com/news/1782355/
70,true,https://www.dawnnews.tv/news/1213937/
71,true,https://www.dawn.com/news/1782116/
72,true,https://www.dawnnews.tv/news/1213721/
73,true,https://www.youtube.com/c/DawnNewsEnglish
74,true,https://www.youtube.com/watch?v=Mva8bOo_Np8
75,true,https://www.youtube.com/watch?v=Mva8bOo_Np8
76,true,https://www.youtube.com/watch?v=d-2BpOMzCQ4
77,true,https://www.youtube.com/watch?v=d-2BpOMzCQ4
78,true,https://www.youtube.com/watch?v=CJdLV8Wof5c
79,true,https://www.youtube.com/watch?v=CJdLV8Wof5c
80,true,https://www.youtube.com/watch?v=2tRgnc_JVPM
81,true,https://www.youtube.com/watch?v=2tRgnc_JVPM
82,true,https://www.youtube.com/watch?v=yTj4Um--7Vs
83,true,https://www.youtube.com/watch?v=yTj4Um--7Vs
84,true,https://www.youtube.com/watch?v=Tv7FlrLr_ds
85,true,https://www.youtube.com/watch?v=Tv7FlrLr_ds
86,true,https://www.youtube.com/watch?v=7GpkRMJTspI
87,true,https://www.youtube.com/watch?v=7GpkRMJTspI
88,true,https://www.youtube.com/watch?v=Tz02NcHkwZc
89,true,https://www.youtube.com/watch?v=Tz02NcHkwZc
90,true,/latest-news
91,true,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
92,true,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
93,true,https://www.dawn.com/news/1782459/us-concerned-about-russia-hungary-ties
94,true,https://www.dawn.com/news/1782459/us-concerned-about-russia-hungary-ties
95,true,https://www.dawn.com/news/1782460/labour-deals-big-by-election-blows-to-sunak
96,true,https://www.dawn.com/news/1782460/labour-deals-big-by-election-blows-to-sunak
97,true,https://www.dawn.com/news/1782514/us-teams-visit-sparks-action-on-shrimp-export-ban
98,true,https://www.dawn.com/news/1782514/us-teams-visit-sparks-action-on-shrimp-export-ban
99,true,https://www.dawn.com/news/1782515/bris-initial-phase-helps-end-power-outages-minister
100,true,https://www.dawn.com/news/1782515/bris-initial-phase-helps-end-power-outages-minister
101,true,https://www.dawn.com/news/1782516/dollar-unchanged-in-interbank-kerb-markets
102,true,https://www.dawn.com/news/1782516/dollar-unchanged-in-interbank-kerb-markets
103,true,https://images.dawn.com
104,true,https://www.dawn.com/news/1782366/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
105,true,https://images.dawn.com/news/1192068/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
106,true,https://www.dawn.com/news/1782322/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
107,true,https://images.dawn.com/news/1192067/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
108,true,https://www.dawn.com/news/1782317/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
109,true,https://images.dawn.com/news/1192039/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
110,true,/popular
111,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
112,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
113,true,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
114,true,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
115,true,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
116,true,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
117,true,https://www.dawn.com/news/1782298/cartoon-20-october-2023
118,true,https://www.dawn.com/news/1782298/cartoon-20-october-2023
119,true,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
120,true,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
121,true,https://www.dawn.com/news/1782119/in-meeting-with-xi-pm-kakar-hails-pak-china-partnership-as-made-in-heaven
122,true,https://www.dawn.com/news/1782119/in-meeting-with-xi-pm-kakar-hails-pak-china-partnership-as-made-in-heaven
123,true,https://www.dawn.com/news/1782260/sc-suspends-phc-order-granting-blanket-bail-to-pti-leaders
124,true,https://www.dawn.com/news/1782260/sc-suspends-phc-order-granting-blanket-bail-to-pti-leaders
125,true,https://www.dawn.com/news/1782273/us-official-resigns-over-military-aid-to-israel
126,true,https://www.dawn.com/news/1782273/us-official-resigns-over-military-aid-to-israel
127,true,https://www.dawn.com/news/1782112/veteran-lawyer-sm-zafar-passes-away-in-lahore
128,true,https://www.dawn.com/news/1782112/veteran-lawyer-sm-zafar-passes-away-in-lahore
129,true,/must-read
130,true,https://www.dawn.com/news/1782464/the-most-deaths-palestine-has-ever-witnessed
131,true,https://www.dawn.com/news/1782464/the-most-deaths-palestine-has-ever-witnessed
132,true,https://www.dawn.com/authors/10683/hammad-ahmed-abbasi
133,true,https://www.dawn.com/news/1782556/editorial-it-is-most-unfortunate-to-see-nawaz-sharif-standing-on-the-wrong-side-of-history-once-again
134,true,https://www.dawn.com/news/1782530
135,true,https://www.dawn.com/news/1782557/in-these-polarising-times-the-cjp-should-be-a-uniting-force-for-the-judiciary
136,true,https://www.dawn.com/news/1782536
137,true,https://www.dawn.com/news/1779291/the-cases-welcoming-pml-n-chief-nawaz-sharif-on-his-return-after-4-year-self-exile
138,true,https://www.dawn.com/news/1779291/the-cases-welcoming-pml-n-chief-nawaz-sharif-on-his-return-after-4-year-self-exile
139,true,https://www.dawn.com/authors/202/dawn-com
140,true,https://www.dawn.com/news/1782551/is-big-brother-ready-to-bury-the-hatchet
141,true,https://www.dawn.com/news/1782469
142,true,/opinion
143,true,https://www.dawn.com/news/1782536/great-expectations
144,true,https://www.dawn.com/news/1782536/great-expectations
145,true,https://www.dawn.com/authors/1164/basil-nabi-malik
146,true,https://www.dawn.com/news/1782535/womens-work-and-growth
147,true,https://www.dawn.com/news/1782535/womens-work-and-growth
148,true,https://www.dawn.com/authors/6389/hadia-majid
149,true,https://www.dawn.com/news/1782534/broken-promises
150,true,https://www.dawn.com/news/1782534/broken-promises
151,true,https://www.dawn.com/authors/164/asghar-soomro
152,true,https://www.dawn.com/news/1782533/water-crisis
153,true,https://www.dawn.com/news/1782533/water-crisis
154,true,https://www.dawn.com/authors/7476/dr-noman-ahmed
155,true,https://www.dawn.com/news/1782290/waste-not-the-crises
156,true,https://www.dawn.com/news/1782290/waste-not-the-crises
157,true,https://www.dawn.com/authors/9300/zafar-mirza
158,true,/opinion
159,true,https://www.dawn.com/news/1782530/homecoming
160,true,https://www.dawn.com/news/1782530/homecoming
161,true,https://www.dawn.com/news/1782529/stock-market-surge
162,true,https://www.dawn.com/news/1782529/stock-market-surge
163,true,https://www.dawn.com/news/1782528/crushing-protest
164,true,https://www.dawn.com/news/1782528/crushing-protest
165,true,https://www.dawn.com/news/1782286/cpecs-potential
166,true,https://www.dawn.com/news/1782286/cpecs-potential
167,true,https://www.dawn.com/news/1782285/media-under-fire
168,true,https://www.dawn.com/news/1782285/media-under-fire
169,true,https://www.dawn.com/news/1782284/unjust-bloodshed
170,true,https://www.dawn.com/news/1782284/unjust-bloodshed
171,true,https://www.dawn.com/news/1782012/abrahams-seed
172,true,https://www.dawn.com/news/1782012/abrahams-seed
173,true,https://www.dawn.com/news/1782012/abrahams-seed
174,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
175,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
176,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
177,true,https://www.dawn.com/
178,true,https://www.compunode.com/
179,true,https://www.dawn.com
180,true,https://twitter.com/dawn_com
181,true,https://www.facebook.com/dawndotcom
182,true,https://www.instagram.com/dawn_dot_com/
183,true,https://itunes.apple.com/pk/app/dawn-official-mobile-app/id935631940
184,true,https://play.google.com/store/apps/details?id=com.mictronicx.dawn
185,true,https://appgallery.huawei.com/#/app/C104007373
186,true,/contact
187,true,/terms
188,true,/reproduction-copyrights
189,true,/contribution-guidelines
190,true,/privacy
191,true,/comments-policy
192,true,/code-of-ethics
193,true,/social-media-guidelines
194,true,/subscription
195,true,/marketing
196,true,/sponsor-content
197,true,https://classifieds.dawn.com
198,true,https://obituary.dawn.com
199,true,/prayers-timings
200,true,/stocks
201,true,/weather
202,true,/
203,true,https://herald.dawn.com
204,true,https://aurora.dawn.com
205,true,/prism
206,true,https://www.dawnnews.tv/
207,true,https://images.dawn.com
208,true,/magazines
209,true,https://cityfm89.com
210,true,https://www.youtube.com/channel/UCkMdI0K-74jAjOmh5J5H97Q
